linha_base,direcao_base,total_pontos_linha_base,linha_compartilhada,direcao_compartilhada,num_pontos_compartilhados,percentual_cobertura,pontos_compartilhados
805,Volta,24,302,Ida,22,91.67,"Aldo Bonadei, Alfa Barra, Clube Riviera, Comandante Júlio de Moura, Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Peregrino Junior, Praça do Ó, Praça Euvaldo Lodi, Praça Professor José Bernardino, Praça Professor Souza Araújo, Praia da Barra - Posto 4, Praia da Barra - Posto 5, Praia da Barra - Posto 6, Praia da Barra - Posto 7, Praia da Barra - Posto 8, Prefeito Dulcídio Cardoso, Prudência do Amaral, Rodolfo de Campos, São Regulo"
805,Volta,24,SN565,Ida,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,844,Ida,6,25,"Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Praça Professor Souza Araújo, Terminal Nuta James"
805,Volta,24,SN550,Ida,4,16.67,"Daut Peres, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Praça Professor Souza Araújo"
805,Volta,24,2918,Ida,3,12.5,"Metrô Jardim Oceânico :: Ônibus Convencionais, Praia da Barra - Posto 7, Prudência do Amaral"
805,Volta,24,878,Ida,1,4.17,Daut Peres
805,Volta,24,878,Volta,3,12.5,"Praia da Barra - Posto 4, Praia da Barra - Posto 5, Prudência do Amaral"
805,Volta,24,SV878,Ida,1,4.17,Daut Peres
805,Volta,24,SV878,Volta,3,12.5,"Praia da Barra - Posto 4, Praia da Barra - Posto 5, Prudência do Amaral"
805,Volta,24,863,Volta,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,693,Volta,2,8.33,"Alfa Barra, Prefeito Dulcídio Cardoso"
805,Volta,24,693,Ida,2,8.33,"Alfa Barra, Prefeito Dulcídio Cardoso"
805,Volta,24,692,Ida,2,8.33,"Alfa Barra, Prefeito Dulcídio Cardoso"
805,Volta,24,692,Volta,2,8.33,"Alfa Barra, Prefeito Dulcídio Cardoso"
805,Volta,24,2803,Ida,1,4.17,Paulo Mazzucchelli
805,Volta,24,SN878,Ida,1,4.17,Daut Peres
805,Volta,24,SN878,Volta,3,12.5,"Praia da Barra - Posto 4, Praia da Barra - Posto 5, Prudência do Amaral"
805,Volta,24,2334,Ida,1,4.17,Paulo Mazzucchelli
805,Volta,24,2335,Ida,1,4.17,Paulo Mazzucchelli
805,Volta,24,2337,Ida,1,4.17,Paulo Mazzucchelli
805,Volta,24,2802,Volta,1,4.17,Terminal Nuta James
805,Volta,24,2802,Ida,2,8.33,"Paulo Mazzucchelli, Terminal Nuta James"
805,Volta,24,2804,Ida,1,4.17,Paulo Mazzucchelli
805,Volta,24,2338,Ida,1,4.17,Paulo Mazzucchelli
805,Volta,24,181,Ida,4,16.67,"Alfa Barra, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Prefeito Dulcídio Cardoso"
805,Volta,24,553,Ida,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,SP553,Ida,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,SN554,Ida,2,8.33,"Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli"
805,Volta,24,SPA550,Ida,5,20.83,"Daut Peres, Gumercindo da Silva, Metrô Jardim Oceânico :: Ônibus Convencionais, Paulo Mazzucchelli, Praça Professor Souza Araújo"
